,counts,number of items in equivalence class,isoforms in equivalence class
0,86605,0,None
1,48,5,ENST00000325147;ENST00000332865;ENST00000382762;ENST00000410108;ENST00000486280
2,84,1,ENST00000410108
3,17,5,ENST00000325147;ENST00000332865;ENST00000382762;ENST00000410108;ENST00000529614
4,2,4,ENST00000325147;ENST00000332865;ENST00000382762;ENST00000410108
5,4,3,ENST00000325147;ENST00000382762;ENST00000410108
6,1,2,ENST00000325147;ENST00000410108
7,8,4,ENST00000325147;ENST00000382762;ENST00000410108;ENST00000529614
8,149,5,ENST00000325147;ENST00000332865;ENST00000382762;ENST00000486280;ENST00000529614
9,1141,2,ENST00000325147;ENST00000382762
10,11,1,ENST00000325147
11,31,4,ENST00000325147;ENST00000332865;ENST00000382762;ENST00000529614
12,22,4,ENST00000325147;ENST00000382762;ENST00000486280;ENST00000529614
13,21,3,ENST00000325147;ENST00000382762;ENST00000529614
14,42,2,ENST00000382762;ENST00000486280
15,7,1,ENST00000382762
16,248,5,ENST00000325207;ENST00000524854;ENST00000526104;ENST00000527696;ENST00000529275
17,236,1,ENST00000526104
18,49,3,ENST00000526104;ENST00000527696;ENST00000527728
19,158,2,ENST00000325207;ENST00000526104
20,416,3,ENST00000325207;ENST00000526104;ENST00000527696
21,203,4,ENST00000325207;ENST00000526104;ENST00000527696;ENST00000527728
22,67,8,ENST00000325207;ENST00000526104;ENST00000526982;ENST00000527468;ENST00000527696;ENST00000527728;ENST00000528357;ENST00000530889
23,147,5,ENST00000325207;ENST00000526104;ENST00000526982;ENST00000527696;ENST00000527728
24,141,4,ENST00000325207;ENST00000524854;ENST00000526104;ENST00000527696
25,121,7,ENST00000325207;ENST00000526104;ENST00000526982;ENST00000527468;ENST00000527696;ENST00000528357;ENST00000530889
26,21,4,ENST00000325207;ENST00000526104;ENST00000526982;ENST00000528357
27,30,7,ENST00000325207;ENST00000526104;ENST00000526982;ENST00000527696;ENST00000527728;ENST00000528357;ENST00000530889
28,48,6,ENST00000325207;ENST00000526104;ENST00000526982;ENST00000527468;ENST00000527696;ENST00000530889
29,25,5,ENST00000325207;ENST00000526104;ENST00000526982;ENST00000527468;ENST00000530889
30,7,6,ENST00000325207;ENST00000526104;ENST00000526982;ENST00000527696;ENST00000527728;ENST00000530889
31,31,3,ENST00000325207;ENST00000526104;ENST00000528357
32,3,4,ENST00000325207;ENST00000526104;ENST00000527696;ENST00000529275
